Symbol;Company Name;Last Price;Change;% Change;Volume
NN.AS;NN Group N.V.;32.75;0.07;+0.21%;1,426,693
WKL.AS;Wolters Kluwer N.V.;68.20;-0.32;-0.47%;659,034
RDSA.AS;Royal Dutch Shell plc;12.26;-0.06;-0.47%;14,257,842
AKZA.AS;Akzo Nobel N.V.;81.66;-0.40;-0.49%;493,146
IMCD.AS;IMCD N.V.;88.16;-0.64;-0.72%;135,69
PHIA.AS;Koninklijke Philips N.V.;39.15;-0.29;-0.74%;3,331,187
RAND.AS;Randstad N.V.;43.98;-0.43;-0.97%;370,422
AGN.AS;Aegon N.V.;23.320;0.0270;+1.17%;9,944,460
DSM.AS;Koninklijke DSM N.V.;132.75;-1.60;-1.19%;441,904
AD.AS;Koninklijke Ahold Delhaize N.V.;24.86;-0.30;-1.19%;3,662,116
ASRNL.AS;ASR Nederland N.V.;30.01;0.39;+1.32%;815,264
REN.AS;RELX PLC;18.99;-0.32;-1.63%;1,660,107
ADYEN.AS;Adyen N.V.;1,311.50;-22.00;-1.65%;171,53
HEIA.AS;Heineken N.V.;76.76;-1.48;-1.89%;536,765
INGA.AS;ING Groep N.V.;6.97;0.14;+1.99%;25,235,471
UNA.AS;The Unilever Group;48.82;-1.01;-2.03%;3,743,505
MT.AS;ArcelorMittal;10.75;0.24;+2.26%;6,372,406
URW.AS;Unibail-Rodamco-Westfield SE;38.67;-0.96;-2.42%;1,072,013
TKWY.AS;Just Eat Takeaway.com N.V.;88.76;-2.34;-2.57%;1,090,401
ABN.AS;ABN AMRO Bank N.V.;8.24;0.26;+3.31%;5,913,430
PRX.AS;Prosus N.V.;80.20;-2.78;-3.35%;1,800,969
KPN.AS;Koninklijke KPN N.V.;21.660;-0.0930;-4.12%;21,486,855
ASML.AS;ASML Holding N.V.;304.80;-13.10;-4.12%;1,456,722
GLPG.AS;Galapagos NV;102.45;-4.80;-4.48%;1,092,660
ASM.AS;ASM International NV;117.25;-8.90;-7.06%;646,002
SBMO.AS;SBM Offshore N.V.;14.18;0.01;+0.04%;306,127
PNL.AS;PostNL N.V.;25.860;-0.0040;-0.15%;3,874,155
AF.PA;Air France-KLM SA;38.020;0.0060;+0.16%;3,706,210
FAGR.BR;Fagron NV;19.50;0.04;+0.21%;140,164
TWEKA.AS;TKH Group N.V.;33.38;0.08;+0.24%;67,09
AALB.AS;Aalberts N.V.;31.24;0.11;+0.35%;286,174
FLOW.AS;Flow Traders N.V.;33.70;0.14;+0.42%;302,719
BOKA.AS;Royal Boskalis Westminster N.V.;16.93;0.09;+0.53%;153,126
ARCAD.AS;Arcadis NV;18.49;-0.13;-0.70%;101,323
ECMPA.AS;Eurocommercial Properties N.V.;9.67;-0.08;-0.82%;119,9
PHARM.AS;Pharming Group N.V.;10.010;-0.0115;-1.14%;3,439,877
ATC.AS;Altice Europe N.V.;34.210;-0.0420;-1.21%;6,189,701
BAMNB.AS;Koninklijke BAM Groep nv;11.940;-0.0170;-1.40%;3,002,276
OCI.AS;OCI N.V.;11.23;-0.16;-1.40%;455,575
BFIT.AS;Basic-Fit N.V.;24.75;0.35;+1.43%;353,257
APAM.AS;Aperam S.A.;25.44;0.43;+1.72%;154,601
LIGHT.AS;Signify N.V.;27.99;0.49;+1.78%;464,705
NSI.AS;NSI N.V.;29.50;-0.55;-1.83%;18,092
VPK.AS;Koninklijke Vopak N.V.;46.19;-0.87;-1.85%;262,978
GVNV.AS;GrandVision N.V.;23.85;-0.45;-1.85%;125,367
FUR.AS;Fugro N.V.;34.540;-0.0660;-1.87%;871,997
CRBN.AS;Corbion N.V.;36.80;-0.75;-2.00%;121,252
INTER.AS;Intertrust N.V.;15.42;-0.52;-3.26%;60,696
WDP.BR;Warehouses De Pauw NV;29.37;-1.06;-3.50%;227,659
BESI.AS;BE Semiconductor Industries N.V.;38.26;-2.67;-6.52%;702,279
FAGR.BR;Fagron NV;19.50;0.04;+0.21%;140,164
ACOMO.AS;Amsterdam Commodities N.V.;19.06;0.04;+0.21%;2,365
NEDAP.AS;Nedap N.V.;43.00;-0.10;-0.23%;1,784
BOLS.AS;Lucas Bols N.V.;7.42;-0.04;-0.54%;7,414
BBED.AS;Beter Bed Holding N.V.;25.750;0.0150;+0.59%;56,291
VALUE.AS;Value8 N.V.;5.16;-0.04;-0.77%;900
ICT.AS;ICT Group N.V.;7.76;-0.08;-1.02%;3,14
STRN.AS;Stern Groep N.V.;11.20;-0.20;-1.75%;5,073
10601345.AS;10601345.AS;;;;
BRILL.AS;Koninklijke Brill NV;17.30;0.00;0.00%;1
HOLCO.AS;Holland Colours N.V.;87.00;-1.00;-1.14%;329
KENDR.AS;Kendrion N.V.;14.36;-0.20;-1.37%;16,723
ACCEL.AS;Accell Group N.V.;25.05;-0.35;-1.38%;34,006
ORDI.AS;Ordina N.V.;23.500;-0.0350;-1.47%;328,927
DPA.AS;DPA Group N.V.;10.700;-0.0200;-1.83%;12,544
KDS.AS;Kiadis Pharma N.V.;16.000;-0.0400;-2.44%;190,503
NEWAY.AS;Neways Electronics International N.V.;8.10;-0.22;-2.64%;20,955
AMG.AS;AMG Advanced Metallurgical Group N.V.;17.69;0.47;+2.73%;329,657
LANS.AS;LANS.AS;;;;
AND.AS;AND International Publishers N.V.;12.850;-0.0600;-4.46%;3,607
KA.AS;KA.AS;;;;
BINCK.AS;BINCK.AS;;;;
BRNL.AS;Brunel International N.V.;6.40;-0.10;-1.54%;65,573
TMG.AS;TMG.AS;;;;
PB9.F;Vivoryon Therapeutics AG;48.150;-0.4850;-9.15%;3,122
